raw_name,standard_name,foreign_name,years,original_note,references,source_pdf,source_page,needs_review
"钟柯夫斯基","","","","弗•费• 扎累金• 896","","列宁全集俄文 第5版 人名索引 (河北大学外语系俄语翻译组译) (z-library.sk, 1lib.sk, z-lib.sk).pdf","88","true"
"仲马","","","","沙•","","列宁全集俄文 第5版 人名索引 (河北大学外语系俄语翻译组译) (z-library.sk, 1lib.sk, z-lib.sk).pdf","88","true"
"扎列夫斯基","","","","卡• 896","","列宁全集俄文 第5版 人名索引 (河北大学外语系俄语翻译组译) (z-library.sk, 1lib.sk, z-lib.sk).pdf","88","true"
"朱加施维里","","","","约•维•","","列宁全集俄文 第5版 人名索引 (河北大学外语系俄语翻译组译) (z-library.sk, 1lib.sk, z-lib.sk).pdf","88","true"
"扎列日斯基","","","","阿•安• 897 “主人”• 扎列斯卡娅-彼尔武申娜 897 兹•斯• 扎林⋯ 897","","列宁全集俄文 第5版 人名索引 (河北大学外语系俄语翻译组译) (z-library.sk, 1lib.sk, z-lib.sk).pdf","88","true"
"兹博罗夫斯基","","","","米•索•","","列宁全集俄文 第5版 人名索引 (河北大学外语系俄语翻译组译) (z-library.sk, 1lib.sk, z-lib.sk).pdf","88","true"
"扎鲁茨基","","","","彼•安• 897","","列宁全集俄文 第5版 人名索引 (河北大学外语系俄语翻译组译) (z-library.sk, 1lib.sk, z-lib.sk).pdf","88","true"
"兹林钦柯","","","","基•巴••","","列宁全集俄文 第5版 人名索引 (河北大学外语系俄语翻译组译) (z-library.sk, 1lib.sk, z-lib.sk).pdf","88","true"
"扎鲁德尼","","","","亚•谢• 897","","列宁全集俄文 第5版 人名索引 (河北大学外语系俄语翻译组译) (z-library.sk, 1lib.sk, z-lib.sk).pdf","88","true"
"兹美耶夫","","","","弗•叶••","","列宁全集俄文 第5版 人名索引 (河北大学外语系俄语翻译组译) (z-library.sk, 1lib.sk, z-lib.sk).pdf","88","true"
"扎洛莫夫","","","","彼•安• 897","","列宁全集俄文 第5版 人名索引 (河北大学外语系俄语翻译组译) (z-library.sk, 1lib.sk, z-lib.sk).pdf","88","true"
"兹纳缅斯基","","","","纳•亚•","","列宁全集俄文 第5版 人名索引 (河北大学外语系俄语翻译组译) (z-library.sk, 1lib.sk, z-lib.sk).pdf","88","true"
"扎梅斯洛夫斯基","","","","格•格 898","","列宁全集俄文 第5版 人名索引 (河北大学外语系俄语翻译组译) (z-library.sk, 1lib.sk, z-lib.sk).pdf","88","true"
"兹韦金策夫","","","","伊•阿•","","列宁全集俄文 第5版 人名索引 (河北大学外语系俄语翻译组译) (z-library.sk, 1lib.sk, z-lib.sk).pdf","88","true"
"扎纳里尼","","","","埃• 898 兹韦烈夫；小兽；野些•","","列宁全集俄文 第5版 人名索引 (河北大学外语系俄语翻译组译) (z-library.sk, 1lib.sk, z-lib.sk).pdf","88","true"
"扎斯拉夫斯基","","","","达•约 898","","列宁全集俄文 第5版 人名索引 (河北大学外语系俄语翻译组译) (z-library.sk, 1lib.sk, z-lib.sk).pdf","88","true"
"兹维尔布利斯","","","","爱•• 扎维亚洛夫家族• 898","","列宁全集俄文 第5版 人名索引 (河北大学外语系俄语翻译组译) (z-library.sk, 1lib.sk, z-lib.sk).pdf","88","true"
"兹沃累金娜","","","","巧•弗• 85 898 899 899 899 899 899 899 899 899 899 899 899 900 900 900 900 900 900 900 900 900 900 900 900 901 901 901 901 901 901 902","","列宁全集俄文 第5版 人名索引 (河北大学外语系俄语翻译组译) (z-library.sk, 1lib.sk, z-lib.sk).pdf","88","true"
"佐夫","","","","维•伊•• 字母• 902","","列宁全集俄文 第5版 人名索引 (河北大学外语系俄语翻译组译) (z-library.sk, 1lib.sk, z-lib.sk).pdf","89","true"
"佐林娜","","","","玛•米• “自己人” 902","","列宁全集俄文 第5版 人名索引 (河北大学外语系俄语翻译组译) (z-library.sk, 1lib.sk, z-lib.sk).pdf","89","true"
"佐洛塔列夫","","","","阿•米•","","列宁全集俄文 第5版 人名索引 (河北大学外语系俄语翻译组译) (z-library.sk, 1lib.sk, z-lib.sk).pdf","89","true"
"祖巴诺夫","","","","弗•斯 902 佐洛托夫斯基,格．阿。","","列宁全集俄文 第5版 人名索引 (河北大学外语系俄语翻译组译) (z-library.sk, 1lib.sk, z-lib.sk).pdf","89","true"
"祖巴托夫","","","","谢•瓦•• 902 佐美尔；佐美尔,马• 祖勃科夫家族 902","","列宁全集俄文 第5版 人名索引 (河北大学外语系俄语翻译组译) (z-library.sk, 1lib.sk, z-lib.sk).pdf","89","true"
"佐伊费尔黑德","","","","阿•","","列宁全集俄文 第5版 人名索引 (河北大学外语系俄语翻译组译) (z-library.sk, 1lib.sk, z-lib.sk).pdf","89","true"
"祖勃钦科","","","","加•尔• 902 “作综”","","列宁全集俄文 第5版 人名索引 (河北大学外语系俄语翻译组译) (z-library.sk, 1lib.sk, z-lib.sk).pdf","89","true"
"祖尔","","","","勃•格•• 902 作家","","列宁全集俄文 第5版 人名索引 (河北大学外语系俄语翻译组译) (z-library.sk, 1lib.sk, z-lib.sk).pdf","89","true"
"祖拉博夫","","","","阿•格• 903 作者 最伪善的耶稣• 903 2а 3б","","列宁全集俄文 第5版 人名索引 (河北大学外语系俄语翻译组译) (z-library.sk, 1lib.sk, z-lib.sk).pdf","89","true"
"左尔格","","","","弗•阿•⋯ .. 903 1/3","","列宁全集俄文 第5版 人名索引 (河北大学外语系俄语翻译组译) (z-library.sk, 1lib.sk, z-lib.sk).pdf","89","true"
"左拉","","","","埃•• ......... 903","","列宁全集俄文 第5版 人名索引 (河北大学外语系俄语翻译组译) (z-library.sk, 1lib.sk, z-lib.sk).pdf","89","true"
"人名译名对照表","","","905-997","(一•••••••⋯•⋯••⋯•⋯•⋯⋯⋯•⋯•","905-997","列宁全集俄文 第5版 人名索引 (河北大学外语系俄语翻译组译) (z-library.sk, 1lib.sk, z-lib.sk).pdf","89","true"
"人名译名对照表","","","998-1023","(二)• ..•• 903 904 904 904 904 904 904 904 904 904 06","06 998-1023","列宁全集俄文 第5版 人名索引 (河北大学外语系俄语翻译组译) (z-library.sk, 1lib.sk, z-lib.sk).pdf","89","true"
"阿•-见戈尔德曼","","","","列•伊•","","列宁全集俄文 第5版 人名索引 (河北大学外语系俄语翻译组译) (z-library.sk, 1lib.sk, z-lib.sk).pdf","90","true"
"阿•布•--见克雷连柯","","","","尼•瓦• 制定了由工人、大学和国家三方","","列宁全集俄文 第5版 人名索引 (河北大学外语系俄语翻译组译) (z-library.sk, 1lib.sk, z-lib.sk).pdf","90","true"
